time,cmd_lin_x,cmd_ang_z
1746638434.3784122,0.15,0.0
1746638434.8062103,0.15,0.0
1746638435.1005533,0.15,0.0
1746638435.4681213,0.15,0.0
1746638435.7815468,0.15,0.0
1746638436.0832934,0.15,0.0
1746638436.386171,0.15,0.0
1746638436.6935232,0.15,0.0
1746638436.973964,0.15,0.0
1746638437.2909493,0.15,0.0
1746638437.5815604,0.15,0.0
1746638437.8843231,0.15,0.0
1746638438.263719,0.15,0.0
1746638438.5749083,0.15,0.0
1746638438.9653652,0.1,-0.5
1746638439.1763,0.1,-0.5
1746638439.4996207,0.1,-0.5
1746638439.8748195,0.1,-0.5
1746638440.2898192,0.1,-0.5
1746638440.692953,0.1,-0.5
1746638440.9949026,0.15,0.0
1746638441.3681397,0.15,0.0
1746638441.5999494,0.15,0.0
1746638441.9043272,0.15,0.0
1746638442.268629,0.15,0.0
1746638442.6083086,0.15,0.0
1746638442.8902726,0.15,0.0
1746638443.1874468,0.15,0.0
1746638443.4723113,0.15,0.0
1746638443.7031276,0.15,0.0
1746638444.1909263,0.15,0.0
1746638444.58047,0.15,0.0
1746638444.9835863,-0.05,1.1942662407887097
1746638445.363112,0.0,0.3
1746638445.6792183,0.15,0.0
1746638446.0642185,0.15,0.0
1746638446.3639603,0.15,0.0
1746638446.6835105,0.15,0.0
1746638446.9756339,0.15,0.0
1746638447.2690442,0.15,0.0
1746638447.5860715,0.15,0.0
1746638447.8780527,0.1,0.5
1746638448.1631262,0.1,0.5
1746638448.376243,0.1,0.5
1746638448.7687538,0.15,0.0
1746638449.078999,0.15,0.0
1746638449.3828743,0.15,0.0
1746638449.6647844,0.15,0.0
1746638449.966939,0.1,0.5
1746638450.2715623,0.1,0.5
1746638450.597416,0.1,0.5
1746638450.9626105,0.15,0.0
1746638451.1969237,0.15,0.0
1746638451.5858424,0.15,0.0
1746638451.9741206,0.15,0.0
1746638452.2764752,0.15,0.0
1746638452.6742775,0.15,0.0
1746638452.905904,0.15,0.0
1746638453.2792795,0.15,0.0
1746638453.6710064,0.15,0.0
1746638454.1021895,0.15,0.0
1746638454.3892117,0.15,0.0
1746638454.780608,0.15,0.0
1746638455.092001,0.15,0.0
1746638455.3908916,0.15,0.0
1746638455.670983,0.15,0.0
1746638455.893493,0.15,0.0
1746638456.2652893,0.15,0.0
1746638456.50387,0.15,0.0
1746638456.789721,0.15,0.0
1746638457.090055,0.15,0.0
1746638457.3964612,0.15,0.0
1746638457.7666025,0.15,0.0
1746638458.0026486,0.15,0.0
1746638458.2938018,0.15,0.0
1746638458.7037961,0.15,0.0
1746638458.992185,0.15,0.0
1746638459.3702996,0.15,0.0
1746638459.7037647,0.15,0.0
1746638460.172458,0.15,0.0
1746638460.4997222,0.15,0.0
1746638460.8085687,-0.05,1.0057614283088503
1746638461.2102392,0.0,0.3
1746638461.6070318,0.0,0.3
1746638461.9076936,0.0,0.3
1746638462.30135,0.0,0.3
1746638462.7778904,0.0,0.3
1746638463.0672834,-0.05,1.4169386184673152
1746638463.4043972,0.0,0.3
1746638463.7009385,0.0,0.3
1746638463.98405,0.0,0.3
1746638464.2088578,0.0,0.3
1746638464.689394,0.0,0.3
1746638465.0006745,0.15,0.0
1746638465.376069,-0.05,-1.1883986407422666
1746638465.7650998,0.0,0.3
1746638466.078135,0.0,0.3
1746638466.3001218,0.0,0.3
1746638466.6669881,0.15,0.0
1746638466.9642048,0.0,0.3
1746638467.2992516,0.0,0.3
1746638467.694758,-0.05,1.0366781051023057
1746638467.993058,0.15,0.0
1746638468.363158,0.15,0.0
1746638468.69173,0.15,0.0
1746638468.9936018,0.15,0.0
1746638469.3750155,0.1,0.5
1746638469.7891955,0.1,0.5
1746638470.2626798,0.1,0.5
1746638470.5866127,0.1,0.5
1746638471.000617,0.1,0.5
1746638471.4168918,0.1,0.5
1746638471.797809,0.1,0.5
1746638472.20778,0.1,0.5
1746638472.6075518,0.1,0.5
1746638472.8927872,0.1,0.5
1746638473.267274,0.1,0.5
1746638473.5877175,0.15,0.0
1746638473.9790728,0.15,0.0
1746638474.2747576,0.15,0.0
1746638474.7814736,0.15,0.0
1746638475.3496053,0.15,0.0
1746638475.6871002,0.15,0.0
1746638476.1763756,0.15,0.0
1746638476.4976163,0.15,0.0
1746638476.9641907,0.15,0.0
1746638477.2904065,0.15,0.0
1746638477.704233,0.15,0.0
1746638478.0933964,0.15,0.0
1746638478.4784818,0.15,0.0
