time,x,y,lin_vel,ang_vel
1746638368.2062662,0.03631868595804659,-0.5000018805143318,0.1500039676774588,-2.4584327162673272e-08
1746638368.2780542,0.041418679739916656,-0.5000018818696352,0.150003328928817,-1.4550568716101222e-08
1746638368.3014429,0.046518683812238754,-0.5000018831446895,0.15000268796711036,-1.0834352402257862e-08
1746638368.3940487,0.05161869837488771,-0.5000018843961744,0.1500019705079138,-1.4596067823459804e-08
1746638368.4077983,0.056718723326940355,-0.5000018856811901,0.15000226903935077,-7.1728413454693025e-09
1746638368.4833605,0.06181873331482001,-0.5000018868257634,0.15000336864896494,-2.152862124344966e-08
1746638368.565244,0.06691874260999553,-0.5000018880249856,0.15000365726186277,-2.7800485754185222e-08
1746638368.5942152,0.07201872725576235,-0.5000018891584105,0.15000057813009612,-7.630634911221788e-08
1746638368.6634536,0.07711871393986276,-0.5000018904710343,0.1500040088086934,-7.101779377456744e-08
1746638368.7000613,0.08221870714819937,-0.5000018917443833,0.15000339750182337,-9.049088017009388e-08
1746638368.790193,0.08731871066785678,-0.5000018930178839,0.15000277463814043,-1.096011977114797e-07
1746638368.810921,0.09241872472253454,-0.5000018943330437,0.15000206885852857,-1.2664887521901636e-07
1746638368.8718898,0.09751874921817796,-0.500001895708825,0.1500023704600105,-1.2193968174005298e-07
1746638368.9029799,0.1026187469539627,-0.5000018968732951,0.15000209996436994,-1.3957847927638748e-07
1746638368.9868588,0.10771874423309406,-0.5000018981239625,0.1500040497922929,-1.258806629693914e-07
1746638369.07331,0.11281873434295726,-0.5000018991687106,0.1500006199871827,-1.388626589786103e-07
1746638369.0914345,0.11791872088934481,-0.5000019003621757,0.1500040175512223,-1.0160173210177562e-07
1746638369.1624584,0.12301871400278475,-0.5000019014945503,0.15000337369597305,-8.789033546843867e-08
1746638369.1892178,0.12811871744140896,-0.5000019026507239,0.15000272026347086,-7.152630763931264e-08
1746638369.208956,0.13321873141312374,-0.5000019039030985,0.15000198615853969,-5.586520044381985e-08
1746638369.2742755,0.1383187558150602,-0.5000019052856599,0.15000226237703287,-2.6232417595921742e-08
1746638369.2951646,0.143418765288794,-0.5000019065691896,0.1500033393919608,-1.7126802750024803e-08
1746638369.3692355,0.14851877407812641,-0.5000019078686259,0.15000360341003072,-6.603086765903831e-11
1746638369.397936,0.1536187608713213,-0.5000019089527205,0.15000193153370847,-1.9289122850730058e-08
1746638369.4895308,0.15871875039823405,-0.5000019102156089,0.15000390940417652,-6.6571445074041195e-09
1746638369.5817957,0.16381874292444337,-0.5000019112525732,0.15000330898400088,-2.0014998291095006e-08
1746638369.6782484,0.16891874579750454,-0.5000019122695807,0.15000268622436497,-3.610661575079097e-08
1746638369.7678201,0.17401875917158632,-0.5000019133556388,0.1500019842993015,-5.569037965721107e-08
1746638369.7861073,0.1791187829557096,-0.5000019145821707,0.1500022941779823,-6.169152472497432e-08
1746638369.862487,0.18421877992759617,-0.5000019157164972,0.1500020426546552,-9.561687355293876e-08
1746638369.890864,0.1893187764102163,-0.500001917033656,0.15000401274177635,-1.009896454250471e-07
1746638369.9149177,0.1944187656948703,-0.5000019181921779,0.1500006062126335,-1.3636329065343405e-07
1746638369.9787955,0.1995187514078218,-0.5000019194714668,0.15000402652650413,-1.218627012704814e-07
1746638370.0662243,0.20461874370186947,-0.5000019205961818,0.1500034010505482,-1.3016211788060727e-07
1746638370.0787845,0.2097187463497665,-0.5000019216253385,0.15000276005173444,-1.3196617631772088e-07
1746638370.1028154,0.21481875956021215,-0.5000019226544787,0.1500020344896376,-1.2872577629389417e-07
1746638370.1816769,0.2199187832266814,-0.5000019237682097,0.15000231561952893,-1.0413874723715342e-07
1746638370.2009664,0.22501880089963636,-0.5000019248339417,0.15000472122797193,-8.162213753519333e-08
